2025-02-27 18:34:12,670 - INFO - Starting training process...
2025-02-27 18:34:12,670 - INFO - Logs will be saved to: logs/training_20250227_183412.log
2025-02-27 18:34:12,670 - INFO - Models will be saved to: models/run_20250227_183412
2025-02-27 18:34:12,670 - INFO - Loading data from full_patient_dataset.csv...
2025-02-27 18:34:15,285 - INFO - Dataset sizes:
2025-02-27 18:34:15,285 - INFO - Training samples: 708097
2025-02-27 18:34:15,285 - INFO - Validation samples: 148515
2025-02-27 18:34:15,285 - INFO - Test samples: 189426
2025-02-27 18:34:15,286 - INFO - Initializing model...
2025-02-27 18:34:15,309 - INFO - Using device: mps
2025-02-27 18:34:15,309 - INFO - Looking at 4.0 hours of data to predict 1.0 hours ahead
2025-02-27 18:34:16,343 - ERROR - Error in training batch 0: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,350 - ERROR - Error in training batch 1: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,357 - ERROR - Error in training batch 2: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,364 - ERROR - Error in training batch 3: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,372 - ERROR - Error in training batch 4: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,379 - ERROR - Error in training batch 5: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,385 - ERROR - Error in training batch 6: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,393 - ERROR - Error in training batch 7: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,401 - ERROR - Error in training batch 8: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,409 - ERROR - Error in training batch 9: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,417 - ERROR - Error in training batch 10: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,422 - ERROR - Error in training batch 11: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,426 - ERROR - Error in training batch 12: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,432 - ERROR - Error in training batch 13: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,437 - ERROR - Error in training batch 14: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,459 - ERROR - Error in training batch 15: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,477 - ERROR - Error in training batch 16: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,485 - ERROR - Error in training batch 17: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,493 - ERROR - Error in training batch 18: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,500 - ERROR - Error in training batch 19: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,508 - ERROR - Error in training batch 20: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,515 - ERROR - Error in training batch 21: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,523 - ERROR - Error in training batch 22: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,530 - ERROR - Error in training batch 23: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,537 - ERROR - Error in training batch 24: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,544 - ERROR - Error in training batch 25: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,551 - ERROR - Error in training batch 26: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,558 - ERROR - Error in training batch 27: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,565 - ERROR - Error in training batch 28: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,573 - ERROR - Error in training batch 29: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
